Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,374,41.000,1788186428051345.995	,1788186428051386.995	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,375,333.600,1788186428052057.575	,1788186428052391.175	
3,clear_ops,MIX_AIC,47,376,35.100,1788186428052392.735	,1788186428052427.835	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,377,0.820,1788186428052429.095	,1788186428052429.915	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,378,0.720,1788186428052429.935	,1788186428052430.655	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,379,0.780,1788186428052430.675	,1788186428052431.455	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,380,0.780,1788186428052431.495	,1788186428052432.275	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,381,0.760,1788186428052459.035	,1788186428052459.795	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,382,0.780,1788186428052506.135	,1788186428052506.915	
3,GroupedMatmul_073724674f6bc75efdc841276e0eb3cc_335741442,MIX_AIC,47,383,50.580,1788186428054157.035	,1788186428054207.615	
3,DequantSwigluQuant_int32_high_performance_100000000,AI_VECTOR_CORE,47,384,8.680,1788186428054324.815	,1788186428054333.495	
3,GroupedMatmul_7027ddb93c25b26c6a749b5e1bdcd245_34697052674,MIX_AIC,47,385,41.640,1788186428056148.755	,1788186428056190.395	
3,DynamicQuant_bf16_1_high_performance_10,AI_VECTOR_CORE,47,386,328.320,1788186428056800.075	,1788186428057128.395	
3,clear_ops,MIX_AIC,47,387,34.720,1788186428057129.535	,1788186428057164.255	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,388,0.900,1788186428057165.255	,1788186428057166.155	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,389,0.720,1788186428057166.175	,1788186428057166.895	
3,sk_scope_kernel_end_dav_2201,AI_VECTOR_CORE,47,390,0.780,1788186428057166.935	,1788186428057167.715	
3,sk_scope_kernel_begin_dav_2201,AI_VECTOR_CORE,47,391,0.780,1788186428057167.735	,1788186428057168.515	
3,sk_placeholder_kernel_dav_2201,AI_VECTOR_CORE,47,392,0.780,1788186428057212.455	,1788186428057213.235	
